product name,product category,qty in stock,price
Smartwatch Ultra 62,Electronics,67,641.32
Moisturizer Ultra 58,Beauty & Personal Care,31,88.76
Sunglasses Max 64,Apparel,198,144.01
Running Socks Ultra 34,Sports & Outdoors,90,107.74
Action Camera Standard 17,Electronics,100,428.27
Action Camera Elite 74,Electronics,114,704.52
Tablet Plus 33,Electronics,13,785.68
Electric Kettle Plus 82,Home & Kitchen,73,182.09
Action Camera Plus 63,Electronics,89,771.25
Sleeping Bag Max 36,Sports & Outdoors,186,325.83
Vacuum Cleaner Classic 26,Home & Kitchen,86,148.01
Smartphone Elite 89,Electronics,77,1295.03
Tablet Lite 74,Electronics,38,198.21
Denim Jacket Lite 57,Apparel,92,32.07
Camping Tent Premium 93,Sports & Outdoors,150,15.92
Camping Tent Plus 27,Sports & Outdoors,82,63.0
Tablet Ultra 44,Electronics,41,798.12
Hoodie Max 74,Apparel,145,45.15
Laptop Classic 45,Electronics,10,34.49
Vacuum Cleaner Ultra 66,Home & Kitchen,119,177.04
Laptop Ultra 79,Electronics,9,1089.93
Hiking Backpack Ultra 65,Sports & Outdoors,47,30.8
Cotton T-Shirt v2 36,Apparel,194,44.92
4K Monitor Standard 62,Electronics,84,981.83
Air Fryer Ultra 62,Home & Kitchen,16,70.21
Wool Socks Lite 44,Apparel,60,120.22
Gaming Mouse Pro 70,Electronics,33,283.45
Face Serum Max 39,Beauty & Personal Care,144,7.98
Electric Kettle v2 45,Home & Kitchen,27,290.72
Leather Belt Standard 61,Apparel,193,147.35
Sleeping Bag Pro 24,Sports & Outdoors,81,90.62
Cotton T-Shirt Plus 86,Apparel,131,58.39
Wool Socks Premium 75,Apparel,49,63.92
Resistance Bands Max 15,Sports & Outdoors,196,203.28
Hiking Backpack Lite 56,Sports & Outdoors,125,43.11
Baseball Cap v2 94,Apparel,237,27.44
Backpack Max 95,Apparel,124,55.66
Backpack Ultra 34,Apparel,127,103.08
Electric Toothbrush Premium 82,Beauty & Personal Care,184,40.1
Bluetooth Speaker Max 36,Electronics,60,1027.9
Sleeping Bag Elite 66,Sports & Outdoors,128,308.09
Running Socks Ultra 94,Sports & Outdoors,36,136.66
Sleeping Bag Plus 40,Sports & Outdoors,187,148.31
Air Fryer Pro 15,Home & Kitchen,72,295.49
Water Bottle Elite 63,Sports & Outdoors,176,264.36
Scented Candle Classic 41,Beauty & Personal Care,105,61.1
Laptop Classic 38,Electronics,27,1051.21
Running Socks Pro 81,Sports & Outdoors,78,413.89
Mechanical Keyboard Ultra 69,Electronics,90,704.53
Tennis Racket v2 66,Sports & Outdoors,171,369.07
Bicycle Helmet Standard 67,Sports & Outdoors,55,337.85
Scented Candle Max 41,Beauty & Personal Care,171,70.32
Running Socks Lite 45,Sports & Outdoors,127,46.4
Hoodie Max 52,Apparel,101,135.01
Wireless Headphones Ultra 39,Electronics,54,911.31
Coffee Maker Classic 62,Home & Kitchen,94,171.92
Moisturizer Lite 63,Beauty & Personal Care,229,82.0
Yoga Mat Premium 58,Sports & Outdoors,137,15.08
Athletic Shorts Classic 63,Apparel,157,114.64
Tennis Racket Lite 72,Sports & Outdoors,71,131.91
Moisturizer Classic 53,Beauty & Personal Care,237,66.82
Electric Toothbrush Premium 78,Beauty & Personal Care,43,82.17
Tennis Racket Pro 20,Sports & Outdoors,179,200.02
Electric Toothbrush Pro 43,Beauty & Personal Care,224,33.49
Face Serum v2 58,Beauty & Personal Care,172,69.16
Beard Oil Plus 70,Beauty & Personal Care,39,68.91
4K Monitor Lite 93,Electronics,13,1022.16
Smartphone Lite 35,Electronics,112,55.87
Toaster Oven Ultra 70,Home & Kitchen,39,177.9
Slow Cooker Max 57,Home & Kitchen,52,189.64
Wireless Headphones Max 23,Electronics,79,62.6
Baseball Cap Classic 60,Apparel,203,37.76
Resistance Bands Plus 99,Sports & Outdoors,92,384.5
Water Bottle Premium 15,Sports & Outdoors,103,245.58
Denim Jacket Standard 92,Apparel,107,11.76
Scented Candle Plus 65,Beauty & Personal Care,215,59.38
Electric Toothbrush Classic 32,Beauty & Personal Care,297,87.09
Baseball Cap Standard 71,Apparel,139,70.97
Camping Tent v2 41,Sports & Outdoors,37,134.53
Hair Dryer Elite 82,Beauty & Personal Care,224,34.25
Face Serum Ultra 72,Beauty & Personal Care,138,35.8
Leather Belt Max 86,Apparel,199,133.21
Yoga Mat Standard 34,Sports & Outdoors,36,118.09
Scented Candle Standard 40,Beauty & Personal Care,273,60.25
Scented Candle Pro 21,Beauty & Personal Care,180,24.6
Vacuum Cleaner Premium 57,Home & Kitchen,131,174.96
Wool Socks Standard 52,Apparel,110,108.39
Athletic Shorts Max 39,Apparel,50,110.97
Denim Jacket Standard 98,Apparel,67,36.81
Beard Oil Premium 77,Beauty & Personal Care,174,88.35
Vacuum Cleaner Lite 56,Home & Kitchen,55,104.62
Dumbbell Set Max 15,Sports & Outdoors,28,254.59
Slow Cooker Plus 11,Home & Kitchen,82,151.42
Face Serum Ultra 16,Beauty & Personal Care,159,85.04
Sunscreen Plus 61,Beauty & Personal Care,281,12.21
Wireless Headphones Ultra 82,Electronics,43,138.17
Coffee Maker Standard 63,Home & Kitchen,67,237.18
Scented Candle Elite 48,Beauty & Personal Care,249,31.64
Yoga Mat Premium 22,Sports & Outdoors,68,286.16
Denim Jacket Ultra 40,Apparel,64,87.27
Blender Classic 67,Home & Kitchen,130,101.54
Vacuum Cleaner Max 99,Home & Kitchen,126,39.92
Vacuum Cleaner Premium 94,Home & Kitchen,60,139.03
Resistance Bands Ultra 44,Sports & Outdoors,51,43.74
Vacuum Cleaner Premium 82,Home & Kitchen,83,142.95
Beard Oil Classic 44,Beauty & Personal Care,286,51.35
Sunscreen Premium 15,Beauty & Personal Care,251,67.69
Camping Tent Pro 21,Sports & Outdoors,73,433.34
Tennis Racket Pro 96,Sports & Outdoors,83,264.61
Slow Cooker Standard 93,Home & Kitchen,123,276.49
Juicer Classic 91,Home & Kitchen,135,291.33
Face Serum Classic 52,Beauty & Personal Care,194,62.28
Humidifier Classic 98,Home & Kitchen,136,100.69
Lip Balm Pro 68,Beauty & Personal Care,75,32.41
Denim Jacket Classic 75,Apparel,231,148.33
Running Socks Classic 16,Sports & Outdoors,63,239.32
Running Socks Elite 16,Sports & Outdoors,67,129.34
Vacuum Cleaner Elite 99,Home & Kitchen,134,53.99
Resistance Bands Ultra 49,Sports & Outdoors,156,18.48
Sunscreen Lite 24,Beauty & Personal Care,266,85.54
Slow Cooker Max 75,Home & Kitchen,79,136.33
Scented Candle Lite 68,Beauty & Personal Care,104,38.21
Hiking Backpack Ultra 18,Sports & Outdoors,85,350.55
Face Serum Standard 44,Beauty & Personal Care,31,29.75
Baseball Cap Premium 94,Apparel,145,131.13
Lip Balm Elite 54,Beauty & Personal Care,200,52.35
Bicycle Helmet Elite 51,Sports & Outdoors,63,441.59
Juicer Classic 39,Home & Kitchen,115,32.21
Shampoo Classic 94,Beauty & Personal Care,107,47.6
Wireless Headphones Standard 85,Electronics,47,1134.51
Sunscreen Standard 68,Beauty & Personal Care,37,66.68
Electric Toothbrush Plus 70,Beauty & Personal Care,165,34.43
Sunscreen v2 96,Beauty & Personal Care,224,86.14
Lip Balm Pro 89,Beauty & Personal Care,65,25.71
Hoodie Plus 65,Apparel,45,116.44
Mechanical Keyboard Ultra 98,Electronics,43,1177.34
4K Monitor Pro 47,Electronics,50,506.04
Toaster Oven Standard 62,Home & Kitchen,56,67.59
Action Camera Classic 89,Electronics,92,335.84
Dumbbell Set Lite 69,Sports & Outdoors,178,123.62
Cotton T-Shirt Elite 46,Apparel,193,86.51
Mechanical Keyboard v2 85,Electronics,43,841.44
Beard Oil Elite 48,Beauty & Personal Care,131,89.94
Sunscreen Lite 58,Beauty & Personal Care,213,54.27
Cotton T-Shirt Classic 45,Apparel,22,89.22
Action Camera Elite 46,Electronics,104,1044.54
Sleeping Bag Lite 91,Sports & Outdoors,63,284.14
Coffee Maker Pro 49,Home & Kitchen,122,29.33
Running Shoes Plus 47,Apparel,103,114.64
Toaster Oven Ultra 79,Home & Kitchen,103,168.63
Running Shoes Max 71,Apparel,226,51.31
Denim Jacket Elite 19,Apparel,56,115.57
Electric Kettle Standard 56,Home & Kitchen,33,241.38
Bluetooth Speaker Standard 25,Electronics,63,498.09
Baseball Cap Classic 91,Apparel,115,25.16
Slow Cooker Pro 89,Home & Kitchen,93,276.26
Coffee Maker Elite 99,Home & Kitchen,87,201.78
Wireless Headphones Pro 14,Electronics,43,1294.82
Laptop Lite 78,Electronics,22,523.57
Backpack Classic 85,Apparel,210,111.71
Sunscreen Elite 88,Beauty & Personal Care,238,84.87
Cotton T-Shirt v2 37,Apparel,133,72.25
Humidifier Plus 97,Home & Kitchen,104,172.44
Cotton T-Shirt Classic 45,Apparel,68,145.54
Sunscreen Lite 92,Beauty & Personal Care,40,10.24
Hoodie Ultra 82,Apparel,72,19.6
Resistance Bands Premium 37,Sports & Outdoors,74,156.24
Juicer Pro 45,Home & Kitchen,47,296.5
Camping Tent Ultra 24,Sports & Outdoors,184,391.57
Blender v2 40,Home & Kitchen,92,24.41
Cotton T-Shirt Ultra 63,Apparel,154,25.9
Mechanical Keyboard Elite 56,Electronics,70,783.95
Lip Balm Lite 88,Beauty & Personal Care,52,67.08
Camping Tent Elite 92,Sports & Outdoors,22,39.11
Shampoo Classic 97,Beauty & Personal Care,85,47.17
Sunscreen Plus 51,Beauty & Personal Care,105,11.51
Baseball Cap Premium 80,Apparel,202,55.52
Hiking Backpack Max 68,Sports & Outdoors,144,277.37
Laptop Standard 37,Electronics,60,603.46
Electric Kettle v2 68,Home & Kitchen,112,136.47
4K Monitor Classic 50,Electronics,90,353.7
Slow Cooker Plus 21,Home & Kitchen,31,46.09
4K Monitor Ultra 81,Electronics,12,774.8
Hiking Backpack v2 95,Sports & Outdoors,46,192.23
Moisturizer Max 86,Beauty & Personal Care,189,35.53
Hiking Backpack Lite 29,Sports & Outdoors,183,223.46
4K Monitor Standard 57,Electronics,19,998.5
Resistance Bands Classic 81,Sports & Outdoors,174,280.94
Yoga Mat Premium 94,Sports & Outdoors,192,129.51
Vacuum Cleaner Max 53,Home & Kitchen,99,21.7
Juicer Classic 18,Home & Kitchen,46,227.46
Laptop Standard 37,Electronics,53,563.18
Running Shoes v2 49,Apparel,204,55.4
Tennis Racket Plus 16,Sports & Outdoors,54,81.37
Yoga Mat Plus 44,Sports & Outdoors,128,302.1
Makeup Brush Set Elite 63,Beauty & Personal Care,169,24.1
Water Bottle v2 65,Sports & Outdoors,43,136.42
Running Socks Standard 95,Sports & Outdoors,93,32.37
Makeup Brush Set Pro 10,Beauty & Personal Care,134,31.31
Air Fryer Max 47,Home & Kitchen,93,53.59
Shampoo Ultra 26,Beauty & Personal Care,224,50.73
Chef Knife Set Standard 95,Home & Kitchen,100,40.17
Gaming Mouse Pro 68,Electronics,14,1124.87
Bicycle Helmet Premium 61,Sports & Outdoors,196,292.56
Denim Jacket Classic 12,Apparel,103,34.05
Running Socks v2 21,Sports & Outdoors,126,381.96
Electric Kettle Premium 61,Home & Kitchen,144,42.01
Leather Belt Lite 52,Apparel,219,33.53
Water Bottle Standard 75,Sports & Outdoors,64,408.84
Leather Belt Ultra 40,Apparel,46,30.49
Air Fryer Premium 29,Home & Kitchen,29,69.59
Scented Candle Premium 84,Beauty & Personal Care,259,63.21
Tennis Racket v2 90,Sports & Outdoors,95,78.54
Mechanical Keyboard Elite 90,Electronics,43,1041.33
Yoga Mat v2 74,Sports & Outdoors,33,148.3
Moisturizer Pro 57,Beauty & Personal Care,176,12.44
Action Camera Premium 74,Electronics,54,617.63
Yoga Mat Elite 83,Sports & Outdoors,181,94.85
Running Socks Standard 29,Sports & Outdoors,30,209.6
Denim Jacket Standard 92,Apparel,64,15.47
Scented Candle Standard 76,Beauty & Personal Care,111,36.56
Wool Socks Classic 53,Apparel,193,93.69
Denim Jacket v2 22,Apparel,162,104.96
Athletic Shorts Premium 29,Apparel,105,21.4
Humidifier Max 93,Home & Kitchen,110,56.1
Bluetooth Speaker Standard 58,Electronics,87,1035.4
Chef Knife Set Plus 92,Home & Kitchen,118,162.37
4K Monitor Max 33,Electronics,32,463.99
Hair Dryer Lite 27,Beauty & Personal Care,109,12.47
Tablet Standard 77,Electronics,9,870.64
Dumbbell Set Premium 58,Sports & Outdoors,54,83.48
Dumbbell Set Elite 15,Sports & Outdoors,120,171.88
Slow Cooker Premium 46,Home & Kitchen,124,85.51
Vacuum Cleaner Elite 34,Home & Kitchen,104,209.92
Running Socks Elite 46,Sports & Outdoors,112,232.52
Electric Toothbrush Lite 87,Beauty & Personal Care,100,79.32
Mechanical Keyboard v2 80,Electronics,18,933.47
Water Bottle Max 20,Sports & Outdoors,56,131.85
Dumbbell Set Classic 21,Sports & Outdoors,71,369.81
Cotton T-Shirt Classic 16,Apparel,121,80.27
Electric Kettle Plus 57,Home & Kitchen,67,27.88
4K Monitor Ultra 27,Electronics,9,394.33
Electric Toothbrush Elite 67,Beauty & Personal Care,32,82.08
Bluetooth Speaker Lite 29,Electronics,75,1224.08
Hiking Backpack Classic 24,Sports & Outdoors,88,116.47
Smartphone Lite 63,Electronics,86,1038.24
Sunscreen Plus 73,Beauty & Personal Care,38,59.07
Resistance Bands Ultra 47,Sports & Outdoors,124,13.18
Hoodie Premium 63,Apparel,67,103.0
Tablet v2 18,Electronics,72,720.97
Hiking Backpack Pro 59,Sports & Outdoors,135,31.55
Face Serum Max 12,Beauty & Personal Care,212,72.23
Hoodie Plus 84,Apparel,208,115.93
Blender v2 79,Home & Kitchen,96,247.77
Slow Cooker Elite 90,Home & Kitchen,56,247.21
Mechanical Keyboard Pro 47,Electronics,30,85.62
Blender v2 49,Home & Kitchen,141,131.49
Running Socks Max 14,Sports & Outdoors,180,96.11
